country,a,b,c,d,e,f,g,h,pop,pop_share,rep,rep_share,pop_rep
Germany,96,96,96,96,96,96,96,96,82064489,0.184199538,96,0.14159292,854838.4271
France,78,74,81,78,80,78,79,78,66661621,0.149626714,74,0.109144543,900832.7162
Italy,76,73,76,74,74,76,76,76,61302519,0.137597831,73,0.107669617,839760.5342
Spain,58,54,61,56,58,58,58,58,46438422,0.104234316,54,0.079646018,859970.7778
Poland,51,51,52,51,51,51,51,55,37967209,0.08522008,51,0.075221239,744455.0784
Romania,32,32,32,32,32,32,32,32,19759968,0.044352643,32,0.04719764,617499
Netherlands,28,26,29,28,28,28,28,28,17235349,0.038685957,26,0.038348083,662898.0385
Belgium,21,21,21,21,21,21,21,21,11289853,0.025340872,21,0.030973451,537612.0476
Greece,21,21,21,21,21,21,21,21,10793526,0.024226831,21,0.030973451,513977.4286
Czech Republic,21,21,21,21,21,21,21,21,10445783,0.023446297,21,0.030973451,497418.2381
Portugal,21,21,21,21,21,21,21,21,10341330,0.023211845,21,0.030973451,492444.2857
Sweden,21,20,21,21,21,21,21,21,9998000,0.022441217,20,0.029498525,499900
Hungary,21,21,21,21,21,21,21,21,9830485,0.022065217,21,0.030973451,468118.3333
Austria,19,18,19,19,19,19,19,19,8711500,0.019553577,18,0.026548673,483972.2222
Bulgaria,17,17,17,17,17,17,17,17,7153784,0.016057173,17,0.025073746,420810.8235
Denmark,14,13,14,14,14,14,14,14,5700917,0.012796111,13,0.019174041,438532.0769
Finland,14,13,14,14,14,14,14,14,5465408,0.012267494,13,0.019174041,420416
Slovakia,14,13,14,14,14,14,14,14,5407910,0.012138436,13,0.019174041,415993.0769
Ireland,13,11,13,13,13,16,13,13,4664156,0.010469027,11,0.016224189,424014.1818
Croatia,12,11,12,12,12,12,12,12,4190669,0.009406252,11,0.016224189,380969.9091
Lithuania,11,11,11,11,11,11,11,11,2888558,0.006483572,11,0.016224189,262596.1818
Slovenia,8,8,8,8,8,8,8,8,2064188,0.004633216,8,0.01179941,258023.5
Latvia,8,8,8,8,8,8,8,8,1968957,0.004419463,8,0.01179941,246119.625
Estonia,7,6,7,7,7,7,7,7,1315944,0.002953729,6,0.008849558,219324
Cyprus,6,6,6,6,6,6,6,6,848319,0.001904112,6,0.008849558,141386.5
Luxembourg,6,6,6,6,6,6,6,6,576249,0.001293432,6,0.008849558,96041.5
Malta,6,6,6,6,6,6,6,6,434403,0.000975048,6,0.008849558,72400.5
